date,flu,isPartial
2018-12-09,64,False
2018-12-16,47,False
2018-12-23,71,False
2018-12-30,34,False
2019-01-06,57,False
2019-01-13,39,False
2019-01-20,57,False
2019-01-27,100,False
2019-02-03,86,False
2019-02-10,67,False
2019-02-17,84,False
2019-02-24,79,False
2019-03-03,36,False
2019-03-10,31,False
2019-03-17,47,False
2019-03-24,42,False
2019-03-31,29,False
2019-04-07,27,False
2019-04-14,24,False
2019-04-21,21,False
2019-04-28,23,False
2019-05-05,24,False
2019-05-12,14,False
2019-05-19,30,False
2019-05-26,24,False
2019-06-02,20,False
2019-06-09,19,False
2019-06-16,23,False
2019-06-23,35,False
2019-06-30,28,False
2019-07-07,16,False
2019-07-14,29,False
2019-07-21,29,False
2019-07-28,23,False
2019-08-04,26,False
2019-08-11,39,False
2019-08-18,23,False
2019-08-25,44,False
2019-09-01,48,False
2019-09-08,27,False
2019-09-15,47,False
2019-09-22,43,True
