date,flu,isPartial
2012-01-01,0,False
2012-01-08,0,False
2012-01-15,24,False
2012-01-22,0,False
2012-01-29,23,False
2012-02-05,43,False
2012-02-12,21,False
2012-02-19,0,False
2012-02-26,0,False
2012-03-04,0,False
2012-03-11,0,False
2012-03-18,0,False
2012-03-25,0,False
2012-04-01,0,False
2012-04-08,0,False
2012-04-15,0,False
2012-04-22,0,False
2012-04-29,0,False
2012-05-06,0,False
2012-05-13,0,False
2012-05-20,0,False
2012-05-27,0,False
2012-06-03,0,False
2012-06-10,0,False
2012-06-17,0,False
2012-06-24,0,False
2012-07-01,0,False
2012-07-08,0,False
2012-07-15,62,False
2012-07-22,0,False
2012-07-29,0,False
2012-08-05,0,False
2012-08-12,0,False
2012-08-19,0,False
2012-08-26,0,False
2012-09-02,57,False
2012-09-09,0,False
2012-09-16,0,False
2012-09-23,0,False
2012-09-30,0,False
2012-10-07,0,False
2012-10-14,0,False
2012-10-21,0,False
2012-10-28,0,False
2012-11-04,0,False
2012-11-11,100,False
2012-11-18,0,False
2012-11-25,0,False
2012-12-02,0,False
2012-12-09,0,False
2012-12-16,69,False
2012-12-23,0,False
2012-12-30,0,False
2013-01-06,0,False
2013-01-13,0,False
2013-01-20,0,False
2013-01-27,100,False
2013-02-03,90,False
2013-02-10,93,False
2013-02-17,91,False
2013-02-24,0,False
2013-03-03,0,False
2013-03-10,0,False
2013-03-17,0,False
2013-03-24,30,False
2013-03-31,0,False
2013-04-07,0,False
2013-04-14,0,False
2013-04-21,50,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,27,False
2013-05-19,35,False
2013-05-26,17,False
2013-06-02,15,False
2013-06-09,0,False
2013-06-16,25,False
2013-06-23,25,False
2013-06-30,0,False
2013-07-07,13,False
2013-07-14,10,False
2013-07-21,9,False
2013-07-28,0,False
2013-08-04,10,False
2013-08-11,10,False
2013-08-18,10,False
2013-08-25,10,False
2013-09-01,0,False
2013-09-08,14,False
2013-09-15,20,False
2013-09-22,0,False
2013-09-29,9,False
2013-10-06,0,False
2013-10-13,16,False
2013-10-20,0,False
2013-10-27,12,False
2013-11-03,0,False
2013-11-10,20,False
2013-11-17,16,False
2013-11-24,18,False
2013-12-01,41,False
2013-12-08,30,False
2013-12-15,43,False
2013-12-22,45,False
2013-12-29,0,False
2014-01-05,0,False
2014-01-12,0,False
2014-01-19,0,False
2014-01-26,46,False
2014-02-02,0,False
2014-02-09,40,False
2014-02-16,47,False
2014-02-23,0,False
2014-03-02,53,False
2014-03-09,53,False
2014-03-16,0,False
2014-03-23,0,False
2014-03-30,0,False
2014-04-06,44,False
2014-04-13,54,False
2014-04-20,48,False
2014-04-27,0,False
2014-05-04,0,False
2014-05-11,41,False
2014-05-18,0,False
2014-05-25,0,False
2014-06-01,0,False
2014-06-08,46,False
2014-06-15,0,False
2014-06-22,47,False
2014-06-29,89,False
2014-07-06,0,False
2014-07-13,0,False
2014-07-20,0,False
2014-07-27,0,False
2014-08-03,100,False
2014-08-10,0,False
2014-08-17,0,False
2014-08-24,0,False
2014-08-31,47,False
2014-09-07,0,False
2014-09-14,0,False
2014-09-21,0,False
2014-09-28,0,False
2014-10-05,0,False
2014-10-12,48,False
2014-10-19,0,False
2014-10-26,49,False
2014-11-02,0,False
2014-11-09,0,False
2014-11-16,0,False
2014-11-23,0,False
2014-11-30,0,False
2014-12-07,0,False
2014-12-14,59,False
2014-12-21,0,False
2014-12-28,0,False
2015-01-04,6,False
2015-01-11,6,False
2015-01-18,6,False
2015-01-25,0,False
2015-02-01,6,False
2015-02-08,16,False
2015-02-15,100,False
2015-02-22,78,False
2015-03-01,64,False
2015-03-08,74,False
2015-03-15,38,False
2015-03-22,17,False
2015-03-29,4,False
2015-04-05,3,False
2015-04-12,7,False
2015-04-19,10,False
2015-04-26,3,False
2015-05-03,7,False
2015-05-10,3,False
2015-05-17,6,False
2015-05-24,6,False
2015-05-31,3,False
2015-06-07,3,False
2015-06-14,3,False
2015-06-21,0,False
2015-06-28,3,False
2015-07-05,4,False
2015-07-12,0,False
2015-07-19,4,False
2015-07-26,0,False
2015-08-02,0,False
2015-08-09,5,False
2015-08-16,0,False
2015-08-23,0,False
2015-08-30,6,False
2015-09-06,0,False
2015-09-13,0,False
2015-09-20,0,False
2015-09-27,4,False
2015-10-04,4,False
2015-10-11,4,False
2015-10-18,0,False
2015-10-25,8,False
2015-11-01,0,False
2015-11-08,0,False
2015-11-15,3,False
2015-11-22,3,False
2015-11-29,3,False
2015-12-06,3,False
2015-12-13,3,False
2015-12-20,0,False
2015-12-27,0,False
2016-01-03,0,False
2016-01-10,0,False
2016-01-17,57,False
2016-01-24,0,False
2016-01-31,82,False
2016-02-07,54,False
2016-02-14,0,False
2016-02-21,0,False
2016-02-28,50,False
2016-03-06,0,False
2016-03-13,50,False
2016-03-20,0,False
2016-03-27,100,False
2016-04-03,52,False
2016-04-10,0,False
2016-04-17,51,False
2016-04-24,51,False
2016-05-01,0,False
2016-05-08,0,False
2016-05-15,46,False
2016-05-22,0,False
2016-05-29,0,False
2016-06-05,69,False
2016-06-12,43,False
2016-06-19,39,False
2016-06-26,40,False
2016-07-03,82,False
2016-07-10,40,False
2016-07-17,36,False
2016-07-24,60,False
2016-07-31,0,False
2016-08-07,29,False
2016-08-14,0,False
2016-08-21,0,False
2016-08-28,0,False
2016-09-04,52,False
2016-09-11,27,False
2016-09-18,68,False
2016-09-25,23,False
2016-10-02,35,False
2016-10-09,23,False
2016-10-16,19,False
2016-10-23,39,False
2016-10-30,19,False
2016-11-06,37,False
2016-11-13,25,False
2016-11-20,20,False
2016-11-27,0,False
2016-12-04,15,False
2016-12-11,24,False
2016-12-18,25,False
2016-12-25,27,False
2017-01-01,37,False
2017-01-08,12,False
2017-01-15,12,False
2017-01-22,9,False
2017-01-29,10,False
2017-02-05,0,False
2017-02-12,15,False
2017-02-19,9,False
2017-02-26,13,False
