date,flu,isPartial
2018-12-09,7,False
2018-12-16,5,False
2018-12-23,8,False
2018-12-30,10,False
2019-01-06,18,False
2019-01-13,30,False
2019-01-20,58,False
2019-01-27,98,False
2019-02-03,100,False
2019-02-10,82,False
2019-02-17,38,False
2019-02-24,32,False
2019-03-03,28,False
2019-03-10,17,False
2019-03-17,17,False
2019-03-24,8,False
2019-03-31,15,False
2019-04-07,8,False
2019-04-14,6,False
2019-04-21,9,False
2019-04-28,13,False
2019-05-05,7,False
2019-05-12,8,False
2019-05-19,9,False
2019-05-26,6,False
2019-06-02,6,False
2019-06-09,7,False
2019-06-16,6,False
2019-06-23,8,False
2019-06-30,4,False
2019-07-07,10,False
2019-07-14,5,False
2019-07-21,8,False
2019-07-28,7,False
2019-08-04,6,False
2019-08-11,7,False
2019-08-18,17,False
2019-08-25,11,False
2019-09-01,7,False
2019-09-08,9,False
2019-09-15,11,False
2019-09-22,9,False
2019-09-29,10,False
2019-10-06,6,False
2019-10-13,5,False
2019-10-20,13,False
