date,flu,isPartial
2018-12-09,8,False
2018-12-16,13,False
2018-12-23,11,False
2018-12-30,12,False
2019-01-06,12,False
2019-01-13,22,False
2019-01-20,35,False
2019-01-27,57,False
2019-02-03,68,False
2019-02-10,100,False
2019-02-17,91,False
2019-02-24,75,False
2019-03-03,63,False
2019-03-10,40,False
2019-03-17,29,False
2019-03-24,14,False
2019-03-31,15,False
2019-04-07,11,False
2019-04-14,7,False
2019-04-21,12,False
2019-04-28,6,False
2019-05-05,5,False
2019-05-12,5,False
2019-05-19,6,False
2019-05-26,6,False
2019-06-02,8,False
2019-06-09,5,False
2019-06-16,9,False
2019-06-23,4,False
2019-06-30,8,False
2019-07-07,7,False
2019-07-14,9,False
2019-07-21,12,False
2019-07-28,11,False
2019-08-04,8,False
2019-08-11,13,False
2019-08-18,15,False
2019-08-25,16,False
2019-09-01,15,False
2019-09-08,10,False
2019-09-15,13,False
2019-09-22,8,True
