date,flu,isPartial
2018-12-09,9,False
2018-12-16,10,False
2018-12-23,17,False
2018-12-30,20,False
2019-01-06,26,False
2019-01-13,51,False
2019-01-20,65,False
2019-01-27,92,False
2019-02-03,100,False
2019-02-10,91,False
2019-02-17,63,False
2019-02-24,43,False
2019-03-03,26,False
2019-03-10,19,False
2019-03-17,18,False
2019-03-24,12,False
2019-03-31,7,False
2019-04-07,6,False
2019-04-14,9,False
2019-04-21,9,False
2019-04-28,11,False
2019-05-05,4,False
2019-05-12,5,False
2019-05-19,7,False
2019-05-26,8,False
2019-06-02,7,False
2019-06-09,7,False
2019-06-16,5,False
2019-06-23,8,False
2019-06-30,6,False
2019-07-07,8,False
2019-07-14,8,False
2019-07-21,10,False
2019-07-28,14,False
2019-08-04,8,False
2019-08-11,11,False
2019-08-18,7,False
2019-08-25,12,False
2019-09-01,9,False
2019-09-08,8,False
2019-09-15,10,False
2019-09-22,8,False
2019-09-29,10,False
2019-10-06,8,False
2019-10-13,10,False
2019-10-20,8,False
2019-10-27,21,True
