date,flu,isPartial
2018-12-09,18,False
2018-12-16,21,False
2018-12-23,10,False
2018-12-30,21,False
2019-01-06,71,False
2019-01-13,100,False
2019-01-20,33,False
2019-01-27,45,False
2019-02-03,48,False
2019-02-10,28,False
2019-02-17,32,False
2019-02-24,36,False
2019-03-03,25,False
2019-03-10,16,False
2019-03-17,16,False
2019-03-24,13,False
2019-03-31,10,False
2019-04-07,7,False
2019-04-14,9,False
2019-04-21,11,False
2019-04-28,19,False
2019-05-05,15,False
2019-05-12,20,False
2019-05-19,12,False
2019-05-26,18,False
2019-06-02,17,False
2019-06-09,9,False
2019-06-16,11,False
2019-06-23,7,False
2019-06-30,5,False
2019-07-07,14,False
2019-07-14,6,False
2019-07-21,9,False
2019-07-28,8,False
2019-08-04,0,False
2019-08-11,45,False
2019-08-18,58,False
2019-08-25,56,False
2019-09-01,50,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,44,False
2019-09-29,0,False
2019-10-06,89,False
2019-10-13,45,False
2019-10-20,42,False
2019-10-27,0,True
