date,flu,isPartial
2018-12-09,47,False
2018-12-16,51,False
2018-12-23,50,False
2018-12-30,64,False
2019-01-06,46,False
2019-01-13,96,False
2019-01-20,56,False
2019-01-27,56,False
2019-02-03,54,False
2019-02-10,60,False
2019-02-17,72,False
2019-02-24,80,False
2019-03-03,53,False
2019-03-10,45,False
2019-03-17,44,False
2019-03-24,38,False
2019-03-31,25,False
2019-04-07,33,False
2019-04-14,21,False
2019-04-21,36,False
2019-04-28,34,False
2019-05-05,41,False
2019-05-12,39,False
2019-05-19,41,False
2019-05-26,72,False
2019-06-02,80,False
2019-06-09,67,False
2019-06-16,47,False
2019-06-23,39,False
2019-06-30,60,False
2019-07-07,42,False
2019-07-14,59,False
2019-07-21,94,False
2019-07-28,81,False
2019-08-04,70,False
2019-08-11,66,False
2019-08-18,59,False
2019-08-25,37,False
2019-09-01,41,False
2019-09-08,67,False
2019-09-15,100,False
2019-09-22,59,True
