date,flu,isPartial
2018-12-09,0,False
2018-12-16,42,False
2018-12-23,0,False
2018-12-30,100,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,40,False
2019-01-27,42,False
2019-02-03,40,False
2019-02-10,0,False
2019-02-17,73,False
2019-02-24,74,False
2019-03-03,51,False
2019-03-10,0,False
2019-03-17,70,False
2019-03-24,0,False
2019-03-31,36,False
2019-04-07,35,False
2019-04-14,38,False
2019-04-21,0,False
2019-04-28,34,False
2019-05-05,34,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,26,False
2019-06-09,27,False
2019-06-16,27,False
2019-06-23,57,False
2019-06-30,30,False
2019-07-07,39,False
2019-07-14,65,False
2019-07-21,49,False
2019-07-28,30,False
2019-08-04,27,False
2019-08-11,27,False
2019-08-18,40,False
2019-08-25,65,False
2019-09-01,27,False
2019-09-08,0,False
2019-09-15,27,False
2019-09-22,56,False
2019-09-29,30,False
2019-10-06,44,False
2019-10-13,0,False
2019-10-20,25,False
2019-10-27,0,True
