date,flu,isPartial
2018-12-09,24,False
2018-12-16,24,False
2018-12-23,33,False
2018-12-30,49,False
2019-01-06,27,False
2019-01-13,48,False
2019-01-20,31,False
2019-01-27,59,False
2019-02-03,52,False
2019-02-10,0,False
2019-02-17,24,False
2019-02-24,47,False
2019-03-03,22,False
2019-03-10,31,False
2019-03-17,22,False
2019-03-24,22,False
2019-03-31,93,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,44,False
2019-04-28,22,False
2019-05-05,32,False
2019-05-12,43,False
2019-05-19,31,False
2019-05-26,42,False
2019-06-02,64,False
2019-06-09,21,False
2019-06-16,32,False
2019-06-23,21,False
2019-06-30,22,False
2019-07-07,21,False
2019-07-14,100,False
2019-07-21,83,False
2019-07-28,46,False
2019-08-04,47,False
2019-08-11,47,False
2019-08-18,46,False
2019-08-25,46,False
2019-09-01,69,False
2019-09-08,45,False
2019-09-15,30,False
2019-09-22,67,False
2019-09-29,77,False
2019-10-06,23,False
2019-10-13,38,False
2019-10-20,22,False
