date,flu,isPartial
2018-12-09,19,False
2018-12-16,18,False
2018-12-23,24,False
2018-12-30,29,False
2019-01-06,20,False
2019-01-13,64,False
2019-01-20,48,False
2019-01-27,70,False
2019-02-03,74,False
2019-02-10,76,False
2019-02-17,100,False
2019-02-24,92,False
2019-03-03,76,False
2019-03-10,96,False
2019-03-17,55,False
2019-03-24,57,False
2019-03-31,39,False
2019-04-07,29,False
2019-04-14,20,False
2019-04-21,20,False
2019-04-28,10,False
2019-05-05,12,False
2019-05-12,13,False
2019-05-19,14,False
2019-05-26,23,False
2019-06-02,9,False
2019-06-09,11,False
2019-06-16,17,False
2019-06-23,8,False
2019-06-30,15,False
2019-07-07,11,False
2019-07-14,17,False
2019-07-21,16,False
2019-07-28,25,False
2019-08-04,26,False
2019-08-11,30,False
2019-08-18,23,False
2019-08-25,31,False
2019-09-01,38,False
2019-09-08,33,False
2019-09-15,62,False
2019-09-22,44,True
