date,flu,isPartial
2018-12-09,50,False
2018-12-16,100,False
2018-12-23,68,False
2018-12-30,44,False
2019-01-06,22,False
2019-01-13,31,False
2019-01-20,26,False
2019-01-27,39,False
2019-02-03,19,False
2019-02-10,34,False
2019-02-17,24,False
2019-02-24,15,False
2019-03-03,13,False
2019-03-10,24,False
2019-03-17,10,False
2019-03-24,10,False
2019-03-31,48,False
2019-04-07,26,False
2019-04-14,21,False
2019-04-21,20,False
2019-04-28,17,False
2019-05-05,13,False
2019-05-12,9,False
2019-05-19,11,False
2019-05-26,10,False
2019-06-02,9,False
2019-06-09,9,False
2019-06-16,11,False
2019-06-23,7,False
2019-06-30,11,False
2019-07-07,14,False
2019-07-14,10,False
2019-07-21,17,False
2019-07-28,12,False
2019-08-04,13,False
2019-08-11,19,False
2019-08-18,9,False
2019-08-25,18,False
2019-09-01,16,False
2019-09-08,17,False
2019-09-15,18,False
2019-09-22,22,True
