date,flu,isPartial
2012-01-01,72,False
2012-01-08,17,False
2012-01-15,0,False
2012-01-22,0,False
2012-01-29,46,False
2012-02-05,43,False
2012-02-12,36,False
2012-02-19,40,False
2012-02-26,93,False
2012-03-04,67,False
2012-03-11,48,False
2012-03-18,100,False
2012-03-25,51,False
2012-04-01,54,False
2012-04-08,76,False
2012-04-15,53,False
2012-04-22,50,False
2012-04-29,46,False
2012-05-06,50,False
2012-05-13,50,False
2012-05-20,0,False
2012-05-27,0,False
2012-06-03,51,False
2012-06-10,48,False
2012-06-17,0,False
2012-06-24,42,False
2012-07-01,52,False
2012-07-08,0,False
2012-07-15,0,False
2012-07-22,0,False
2012-07-29,0,False
2012-08-05,50,False
2012-08-12,49,False
2012-08-19,37,False
2012-08-26,33,False
2012-09-02,0,False
2012-09-09,42,False
2012-09-16,95,False
2012-09-23,50,False
2012-09-30,50,False
2012-10-07,45,False
2012-10-14,92,False
2012-10-21,0,False
2012-10-28,46,False
2012-11-04,49,False
2012-11-11,0,False
2012-11-18,0,False
2012-11-25,44,False
2012-12-02,50,False
2012-12-09,63,False
2012-12-16,0,False
2012-12-23,0,False
2012-12-30,86,False
2013-01-06,28,False
2013-01-13,33,False
2013-01-20,49,False
2013-01-27,29,False
2013-02-03,36,False
2013-02-10,100,False
2013-02-17,42,False
2013-02-24,37,False
2013-03-03,21,False
2013-03-10,16,False
2013-03-17,31,False
2013-03-24,32,False
2013-03-31,0,False
2013-04-07,33,False
2013-04-14,32,False
2013-04-21,16,False
2013-04-28,16,False
2013-05-05,32,False
2013-05-12,0,False
2013-05-19,0,False
2013-05-26,15,False
2013-06-02,15,False
2013-06-09,0,False
2013-06-16,15,False
2013-06-23,16,False
2013-06-30,9,False
2013-07-07,3,False
2013-07-14,4,False
2013-07-21,3,False
2013-07-28,6,False
2013-08-04,4,False
2013-08-11,3,False
2013-08-18,2,False
2013-08-25,4,False
2013-09-01,10,False
2013-09-08,7,False
2013-09-15,5,False
2013-09-22,3,False
2013-09-29,3,False
2013-10-06,4,False
2013-10-13,4,False
2013-10-20,5,False
