date,flu,isPartial
2018-12-09,5,False
2018-12-16,7,False
2018-12-23,4,False
2018-12-30,7,False
2019-01-06,11,False
2019-01-13,40,False
2019-01-20,64,False
2019-01-27,100,False
2019-02-03,87,False
2019-02-10,79,False
2019-02-17,57,False
2019-02-24,23,False
2019-03-03,19,False
2019-03-10,16,False
2019-03-17,9,False
2019-03-24,8,False
2019-03-31,7,False
2019-04-07,7,False
2019-04-14,5,False
2019-04-21,2,False
2019-04-28,5,False
2019-05-05,3,False
2019-05-12,3,False
2019-05-19,3,False
2019-05-26,3,False
2019-06-02,3,False
2019-06-09,5,False
2019-06-16,3,False
2019-06-23,5,False
2019-06-30,3,False
2019-07-07,4,False
2019-07-14,3,False
2019-07-21,6,False
2019-07-28,6,False
2019-08-04,5,False
2019-08-11,5,False
2019-08-18,6,False
2019-08-25,9,False
2019-09-01,5,False
2019-09-08,6,False
2019-09-15,5,False
2019-09-22,7,False
2019-09-29,6,False
2019-10-06,5,False
2019-10-13,5,False
2019-10-20,6,False
2019-10-27,0,True
