date,flu,isPartial
2018-12-09,94,False
2018-12-16,68,False
2018-12-23,69,False
2018-12-30,52,False
2019-01-06,50,False
2019-01-13,45,False
2019-01-20,54,False
2019-01-27,51,False
2019-02-03,53,False
2019-02-10,58,False
2019-02-17,52,False
2019-02-24,51,False
2019-03-03,40,False
2019-03-10,42,False
2019-03-17,30,False
2019-03-24,28,False
2019-03-31,22,False
2019-04-07,18,False
2019-04-14,12,False
2019-04-21,25,False
2019-04-28,20,False
2019-05-05,23,False
2019-05-12,26,False
2019-05-19,21,False
2019-05-26,19,False
2019-06-02,23,False
2019-06-09,21,False
2019-06-16,32,False
2019-06-23,36,False
2019-06-30,27,False
2019-07-07,18,False
2019-07-14,27,False
2019-07-21,32,False
2019-07-28,33,False
2019-08-04,39,False
2019-08-11,31,False
2019-08-18,34,False
2019-08-25,31,False
2019-09-01,100,False
2019-09-08,56,False
2019-09-15,53,False
2019-09-22,51,True
