date,flu,isPartial
2012-01-01,66,False
2012-01-08,54,False
2012-01-15,53,False
2012-01-22,82,False
2012-01-29,35,False
2012-02-05,38,False
2012-02-12,45,False
2012-02-19,33,False
2012-02-26,26,False
2012-03-04,39,False
2012-03-11,18,False
2012-03-18,17,False
2012-03-25,28,False
2012-04-01,44,False
2012-04-08,62,False
2012-04-15,19,False
2012-04-22,32,False
2012-04-29,26,False
2012-05-06,0,False
2012-05-13,0,False
2012-05-20,97,False
2012-05-27,32,False
2012-06-03,29,False
2012-06-10,65,False
2012-06-17,30,False
2012-06-24,50,False
2012-07-01,87,False
2012-07-08,42,False
2012-07-15,64,False
2012-07-22,30,False
2012-07-29,0,False
2012-08-05,53,False
2012-08-12,0,False
2012-08-19,100,False
2012-08-26,86,False
2012-09-02,82,False
2012-09-09,67,False
2012-09-16,30,False
2012-09-23,48,False
2012-09-30,84,False
2012-10-07,29,False
2012-10-14,62,False
2012-10-21,36,False
2012-10-28,33,False
2012-11-04,67,False
2012-11-11,0,False
2012-11-18,68,False
2012-11-25,52,False
2012-12-02,32,False
2012-12-09,33,False
2012-12-16,36,False
2012-12-23,39,False
2012-12-30,0,False
2013-01-06,4,False
2013-01-13,4,False
2013-01-20,4,False
2013-01-27,8,False
2013-02-03,71,False
2013-02-10,100,False
2013-02-17,81,False
2013-02-24,34,False
2013-03-03,28,False
2013-03-10,20,False
2013-03-17,15,False
2013-03-24,12,False
2013-03-31,9,False
2013-04-07,4,False
2013-04-14,11,False
2013-04-21,6,False
2013-04-28,9,False
2013-05-05,3,False
2013-05-12,4,False
2013-05-19,7,False
2013-05-26,3,False
2013-06-02,3,False
2013-06-09,6,False
2013-06-16,7,False
2013-06-23,7,False
2013-06-30,10,False
2013-07-07,3,False
2013-07-14,7,False
2013-07-21,5,False
2013-07-28,6,False
2013-08-04,6,False
2013-08-11,4,False
2013-08-18,3,False
2013-08-25,6,False
2013-09-01,3,False
2013-09-08,3,False
2013-09-15,6,False
2013-09-22,4,False
2013-09-29,2,False
2013-10-06,3,False
2013-10-13,2,False
2013-10-20,9,False
2013-10-27,4,False
2013-11-03,5,False
2013-11-10,3,False
2013-11-17,3,False
2013-11-24,5,False
2013-12-01,4,False
2013-12-08,4,False
2013-12-15,8,False
2013-12-22,3,False
2013-12-29,2,False
2014-01-05,11,False
2014-01-12,21,False
2014-01-19,17,False
2014-01-26,18,False
2014-02-02,17,False
2014-02-09,17,False
2014-02-16,19,False
2014-02-23,24,False
2014-03-02,12,False
2014-03-09,14,False
2014-03-16,10,False
2014-03-23,11,False
2014-03-30,19,False
2014-04-06,18,False
2014-04-13,16,False
2014-04-20,20,False
2014-04-27,35,False
2014-05-04,16,False
