date,flu,isPartial
2018-12-09,10,False
2018-12-16,6,False
2018-12-23,10,False
2018-12-30,10,False
2019-01-06,19,False
2019-01-13,84,False
2019-01-20,73,False
2019-01-27,87,False
2019-02-03,91,False
2019-02-10,100,False
2019-02-17,59,False
2019-02-24,40,False
2019-03-03,22,False
2019-03-10,32,False
2019-03-17,38,False
2019-03-24,39,False
2019-03-31,9,False
2019-04-07,12,False
2019-04-14,8,False
2019-04-21,8,False
2019-04-28,11,False
2019-05-05,7,False
2019-05-12,6,False
2019-05-19,14,False
2019-05-26,17,False
2019-06-02,10,False
2019-06-09,10,False
2019-06-16,7,False
2019-06-23,5,False
2019-06-30,10,False
2019-07-07,19,False
2019-07-14,11,False
2019-07-21,11,False
2019-07-28,8,False
2019-08-04,17,False
2019-08-11,9,False
2019-08-18,9,False
2019-08-25,15,False
2019-09-01,16,False
2019-09-08,11,False
2019-09-15,34,False
2019-09-22,14,False
2019-09-29,14,False
2019-10-06,15,False
2019-10-13,11,False
2019-10-20,11,False
2019-10-27,0,True
