date,flu,isPartial
2012-01-01,57,False
2012-01-08,70,False
2012-01-15,100,False
2012-01-22,70,False
2012-01-29,56,False
2012-02-05,63,False
2012-02-12,69,False
2012-02-19,56,False
2012-02-26,28,False
2012-03-04,36,False
2012-03-11,47,False
2012-03-18,26,False
2012-03-25,46,False
2012-04-01,42,False
2012-04-08,56,False
2012-04-15,17,False
2012-04-22,31,False
2012-04-29,28,False
2012-05-06,35,False
2012-05-13,33,False
2012-05-20,21,False
2012-05-27,22,False
2012-06-03,22,False
2012-06-10,40,False
2012-06-17,25,False
2012-06-24,20,False
2012-07-01,31,False
2012-07-08,15,False
2012-07-15,43,False
2012-07-22,47,False
2012-07-29,34,False
2012-08-05,33,False
2012-08-12,29,False
2012-08-19,33,False
2012-08-26,61,False
2012-09-02,47,False
2012-09-09,62,False
2012-09-16,32,False
2012-09-23,25,False
2012-09-30,32,False
2012-10-07,36,False
2012-10-14,33,False
2012-10-21,23,False
2012-10-28,30,False
2012-11-04,31,False
2012-11-11,25,False
2012-11-18,40,False
2012-11-25,39,False
2012-12-02,25,False
2012-12-09,40,False
2012-12-16,18,False
2012-12-23,19,False
2012-12-30,28,False
2013-01-06,15,False
2013-01-13,14,False
2013-01-20,58,False
2013-01-27,28,False
2013-02-03,100,False
2013-02-10,91,False
2013-02-17,59,False
2013-02-24,89,False
2013-03-03,63,False
2013-03-10,58,False
2013-03-17,46,False
2013-03-24,19,False
2013-03-31,31,False
2013-04-07,37,False
2013-04-14,32,False
2013-04-21,19,False
2013-04-28,39,False
2013-05-05,20,False
2013-05-12,45,False
2013-05-19,32,False
2013-05-26,12,False
2013-06-02,12,False
2013-06-09,62,False
2013-06-16,0,False
2013-06-23,0,False
2013-06-30,0,False
2013-07-07,17,False
2013-07-14,11,False
2013-07-21,33,False
2013-07-28,22,False
2013-08-04,22,False
2013-08-11,11,False
2013-08-18,33,False
2013-08-25,11,False
2013-09-01,12,False
2013-09-08,18,False
2013-09-15,48,False
2013-09-22,24,False
2013-09-29,0,False
2013-10-06,38,False
2013-10-13,32,False
2013-10-20,17,False
2013-10-27,18,False
2013-11-03,36,False
2013-11-10,29,False
2013-11-17,45,False
2013-11-24,10,False
2013-12-01,30,False
2013-12-08,19,False
2013-12-15,9,False
2013-12-22,18,False
2013-12-29,18,False
2014-01-05,26,False
2014-01-12,38,False
2014-01-19,52,False
2014-01-26,25,False
2014-02-02,21,False
2014-02-09,18,False
2014-02-16,25,False
2014-02-23,20,False
2014-03-02,42,False
2014-03-09,24,False
2014-03-16,20,False
2014-03-23,23,False
2014-03-30,12,False
2014-04-06,36,False
2014-04-13,23,False
2014-04-20,23,False
2014-04-27,31,False
2014-05-04,27,False
2014-05-11,22,False
2014-05-18,19,False
2014-05-25,19,False
2014-06-01,24,False
2014-06-08,12,False
2014-06-15,36,False
2014-06-22,44,False
2014-06-29,37,False
2014-07-06,18,False
2014-07-13,28,False
2014-07-20,30,False
2014-07-27,53,False
2014-08-03,17,False
2014-08-10,28,False
2014-08-17,39,False
2014-08-24,24,False
2014-08-31,24,False
2014-09-07,28,False
2014-09-14,31,False
2014-09-21,52,False
2014-09-28,46,False
2014-10-05,39,False
2014-10-12,57,False
2014-10-19,38,False
2014-10-26,31,False
2014-11-02,31,False
2014-11-09,30,False
2014-11-16,24,False
2014-11-23,57,False
2014-11-30,33,False
2014-12-07,31,False
2014-12-14,43,False
2014-12-21,69,False
2014-12-28,100,False
2015-01-04,2,False
2015-01-11,2,False
2015-01-18,4,False
2015-01-25,5,False
2015-02-01,15,False
2015-02-08,26,False
2015-02-15,83,False
2015-02-22,100,False
2015-03-01,98,False
2015-03-08,74,False
2015-03-15,46,False
2015-03-22,23,False
2015-03-29,13,False
2015-04-05,9,False
2015-04-12,5,False
2015-04-19,6,False
2015-04-26,5,False
2015-05-03,3,False
2015-05-10,2,False
2015-05-17,3,False
