,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
IN-TN,9.75609756097561,3.6585365853658542,1.2195121951219523,6.097560975609759,3.6585365853658542,17.073170731707318,21.951219512195124,10.975609756097562,0.0,10.975609756097562,17.073170731707318,18.292682926829272,25.609756097560975,15.853658536585366,19.512195121951223,15.853658536585366,100.0,46.341463414634156,42.6829268292683,40.243902439024396,53.66397500038147
IN-KL,3.1746031746031855,6.349206349206349,55.55555555555556,68.25396825396825,47.61904761904763,15.873015873015884,3.1746031746031855,36.50793650793651,7.936507936507942,34.92063492063493,90.47619047619048,69.84126984126983,52.380952380952394,46.031746031746025,34.92063492063493,0.0,6.349206349206349,47.61904761904763,100.0,34.92063492063493,41.13491475582123
IN-KA,17.07317073170731,0.0,43.90243902439024,39.02439024390244,48.78048780487805,31.707317073170728,53.65853658536586,26.82926829268293,41.46341463414633,34.14634146341463,51.21951219512195,75.60975609756098,46.34146341463414,58.53658536585367,92.68292682926828,100.0,85.3658536585366,92.68292682926828,75.60975609756098,90.24390243902438,71.48796916007996
IN-AP,0.0,47.05882352941176,29.411764705882348,17.647058823529417,14.70588235294118,26.470588235294123,61.764705882352935,41.17647058823529,5.882352941176472,44.11764705882353,44.11764705882353,26.470588235294123,35.29411764705882,73.52941176470587,26.470588235294123,88.23529411764707,99.99999999999999,38.23529411764706,97.05882352941177,85.29411764705883,76.1153519153595
IN-GA,0.0,0.0,0.0,25.0,0.0,0.0,26.0,39.0,0.0,28.000000000000004,28.000000000000004,69.0,69.0,54.0,26.0,53.0,0.0,100.0,24.0,0.0,36.05172038078308
IN-MH,2.597402597402593,5.194805194805191,10.389610389610388,0.0,3.8961038961038916,5.194805194805191,40.259740259740255,32.467532467532465,46.75324675324675,100.0,100.0,68.83116883116884,40.259740259740255,55.84415584415585,50.64935064935065,35.06493506493506,31.168831168831172,48.05194805194805,45.45454545454545,41.55844155844156,40.34966230392456
IN-CT,4.000000000000001,4.000000000000001,4.000000000000001,0.0,0.0,0.0,0.0,7.999999999999999,20.0,7.999999999999999,12.000000000000002,12.000000000000002,43.99999999999999,12.000000000000002,20.0,60.0,20.0,24.000000000000004,36.0,99.99999999999999,40.927159786224365
IN-OR,13.33333333333333,26.66666666666666,19.999999999999996,13.33333333333333,13.33333333333333,26.66666666666666,0.0,26.66666666666666,46.666666666666664,19.999999999999996,66.66666666666666,33.333333333333336,40.0,80.0,13.33333333333333,73.33333333333333,60.0,66.66666666666666,73.33333333333333,99.99999999999999,63.88468146324158
IN-MP,9.25925925925926,11.11111111111111,27.77777777777778,1.8518518518518516,5.555555555555555,16.666666666666664,0.0,12.962962962962965,5.555555555555555,16.666666666666664,14.814814814814813,31.481481481481477,33.33333333333333,40.74074074074075,27.77777777777778,42.592592592592595,55.55555555555556,46.29629629629629,100.0,66.66666666666666,63.991910219192505
IN-GJ,8.333333333333332,16.666666666666668,16.666666666666668,33.33333333333333,8.333333333333332,41.66666666666667,0.0,33.33333333333333,24.999999999999993,41.66666666666667,66.66666666666667,58.33333333333333,33.33333333333333,75.0,91.66666666666667,100.0,91.66666666666667,49.99999999999999,75.0,33.33333333333333,34.106674790382385
IN-RJ,21.428571428571423,42.857142857142854,28.57142857142857,0.0,21.428571428571423,35.714285714285715,28.57142857142857,21.428571428571423,42.857142857142854,21.428571428571423,57.14285714285714,57.14285714285714,49.99999999999999,49.99999999999999,64.28571428571428,42.857142857142854,100.0,85.71428571428572,28.57142857142857,71.42857142857142,57.11129307746887
IN-UP,6.25,18.75,31.25,12.5,25.0,18.75,12.5,12.5,0.0,18.75,31.25,31.25,31.25,56.25,50.0,81.25,56.25,75.0,100.0,68.75,79.34178113937378
IN-JH,41.66666666666667,0.0,83.33333333333333,8.333333333333332,0.0,0.0,75.0,41.66666666666667,41.66666666666667,24.999999999999993,24.999999999999993,24.999999999999993,83.33333333333333,49.99999999999999,8.333333333333332,41.66666666666667,83.33333333333333,41.66666666666667,41.66666666666667,100.0,40.30521214008331
IN-WB,50.0,41.66666666666665,20.833333333333325,62.5,70.83333333333333,70.83333333333333,37.5,12.5,41.66666666666665,58.33333333333333,66.66666666666666,45.83333333333333,0.0,45.83333333333333,4.1666666666666625,75.0,4.1666666666666625,58.33333333333333,45.83333333333333,100.0,62.29078769683838
IN-BR,63.63636363636365,18.181818181818183,54.54545454545454,27.272727272727277,27.272727272727277,0.0,27.272727272727277,18.181818181818183,45.45454545454545,36.36363636363636,36.36363636363636,45.45454545454545,45.45454545454545,72.72727272727273,54.54545454545454,63.63636363636365,54.54545454545454,45.45454545454545,100.0,54.54545454545454,38.299307227134705
IN-HR,0.0,18.75,6.25,18.75,18.75,31.25,56.25,18.75,37.5,12.5,43.75,25.0,18.75,31.25,18.75,31.25,18.75,31.25,18.75,100.0,54.96053695678711
IN-PB,33.33333333333333,55.55555555555556,33.33333333333333,44.44444444444444,33.33333333333333,66.66666666666666,66.66666666666666,55.55555555555556,55.55555555555556,66.66666666666666,100.0,55.55555555555556,66.66666666666666,55.55555555555556,77.77777777777777,66.66666666666666,55.55555555555556,55.55555555555556,66.66666666666666,0.0,19.425302743911743
IN-HP,27.27272727272727,27.27272727272727,36.36363636363637,63.63636363636363,63.63636363636363,54.54545454545454,27.27272727272727,45.45454545454546,45.45454545454546,45.45454545454546,27.27272727272727,100.0,36.36363636363637,36.36363636363637,45.45454545454546,45.45454545454546,36.36363636363637,63.63636363636363,63.63636363636363,0.0,43.287086486816406
IN-JK,12.359550561797752,7.865168539325842,5.617977528089887,15.730337078651685,6.741573033707865,10.112359550561797,8.98876404494382,0.0,50.56179775280899,65.1685393258427,62.92134831460674,56.17977528089888,0.0,0.0,49.43820224719101,0.0,100.0,50.56179775280899,47.19101123595505,0.0,30.305102467536926
IN-UT,20.588235294117645,14.705882352941178,29.411764705882355,55.88235294117647,32.35294117647059,32.35294117647059,23.52941176470588,50.0,26.47058823529412,26.47058823529412,44.11764705882353,47.05882352941176,32.35294117647059,100.0,41.17647058823529,41.17647058823529,44.11764705882353,32.35294117647059,32.35294117647059,0.0,28.70137095451355
IN-SK,0.0,46.913580246913575,48.148148148148145,51.85185185185185,0.0,0.0,55.55555555555556,0.0,0.0,86.41975308641975,51.85185185185185,50.617283950617285,0.0,0.0,51.85185185185185,49.382716049382715,100.0,0.0,0.0,0.0,-2.165483310818672
IN-ML,41.53846153846154,87.6923076923077,46.15384615384615,60.00000000000001,100.0,75.38461538461539,46.15384615384615,41.53846153846154,41.53846153846154,61.53846153846154,100.0,41.53846153846154,0.0,41.53846153846154,86.15384615384616,46.15384615384615,67.6923076923077,0.0,38.46153846153847,0.0,34.987711906433105
IN-AS,1.5625,17.1875,23.4375,0.0,7.8125,20.3125,10.9375,21.875,100.0,53.125,10.9375,60.9375,10.9375,10.9375,15.625,23.4375,9.375,18.75,29.6875,9.375,29.250317811965942
IN-AR,0.0,92.5,100.0,0.0,95.0,0.0,0.0,0.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0,95.0,92.5,90.0,0.0,0.0,6.4834922552108765
IN-NL,75.0,47.61904761904761,94.04761904761905,46.42857142857142,47.61904761904761,0.0,0.0,100.0,50.0,0.0,0.0,47.61904761904761,46.42857142857142,0.0,45.238095238095234,45.238095238095234,45.238095238095234,44.047619047619044,42.857142857142854,0.0,25.75870454311371
IN-MZ,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,86.0,16.201406717300415
IN-TR,48.0,44.0,0.0,0.0,0.0,44.0,0.0,90.0,0.0,0.0,100.0,48.0,48.0,0.0,47.0,0.0,0.0,46.0,70.0,42.0,17.323926091194153
